Banco;Técnica;k-anonimato;k mínimo;l-diversidade;l mínimo;NCP;Avaliação NCP;Similaridade;Avaliação Similaridade
customer_churn_telecom_services_dp.xlsx;DP;;;;;0.1723;Baixa perda;;Não aplicável (DP)
customer_churn_telecom_services_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0751;Baixo risco
customer_churn_telecom_services_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0339;Baixo risco
customer_churn_telecom_services_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0048;Baixo risco
diabetes_data_dp.xlsx;DP;;;;;0.2402;Baixa perda;;Não aplicável (DP)
diabetes_data_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.0;Baixo risco
diabetes_data_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.0;Baixo risco
diabetes_data_t_close.xlsx;T-Closeness;;;;;0.0;Baixa perda;0.0;Baixo risco
diabetes_dp.xlsx;DP;;;;;17.606;Alta perda;;Não aplicável (DP)
diabetes_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.2353;Baixo risco
diabetes_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.179;Baixo risco
diabetes_prediction_dataset_dp.xlsx;DP;;;;;0.3081;Perda moderada;;Não aplicável (DP)
diabetes_prediction_dataset_k_anonimizado.xlsx;K-Anonimato;OK;3;;;0.0;Baixa perda;0.3929;Risco moderado
diabetes_prediction_dataset_l_diverso.xlsx;L-Diversidade;;;OK;2;0.0;Baixa perda;0.3107;Risco moderado
