Banco,Tipo,RandomForest_F1_Treino,RandomForest_F1_Teste
drug200_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,1.0,0.808608646255705
drug200_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9357399018149858,0.7211621808143548
drug200_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9627929222905613,0.6880362522467787
drug200_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9763021013369148,0.7769213643328599
drug200_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9425866568860327,0.6047179487179487
drug200_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9524087232899004,0.6824708994708995
drug200_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9628818563779147,0.6728078526220942
drug200_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9662048994521465,0.7138369061279278
drug200_t_close_codificado_bootstrap_1.xlsx,T-Close,1.0,0.6719047619047619
drug200_t_close_codificado_bootstrap_2.xlsx,T-Close,1.0,0.7079629629629629
drug200_t_close_codificado_bootstrap_3.xlsx,T-Close,1.0,0.8304761904761904
drug200_t_close_codificado_bootstrap_4.xlsx,T-Close,1.0,0.6373809523809524
drug200_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9639751552795032,0.7847619047619048
drug200_t_close_codificado_bootstrap_6.xlsx,T-Close,1.0,0.605
drug200_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9638267616043434,0.5940476190476189
employeePromotion_bootstrap_1.xlsx,Original,0.9980849003549164,0.9661591947003195
employeePromotion_bootstrap_2.xlsx,Original,0.9982553234077667,0.9664180444533411
employeePromotion_bootstrap_3.xlsx,Original,0.9981404364559614,0.9639621663813427
employeePromotion_bootstrap_4.xlsx,Original,0.9983649427650716,0.96584710533553
employeePromotion_bootstrap_5.xlsx,Original,0.9980856754765037,0.9662246171422616
employeePromotion_bootstrap_6.xlsx,Original,0.9979725574563204,0.9655017140151705
employeePromotion_bootstrap_7.xlsx,Original,0.9982138809160984,0.9658070292315759
employeePromotion_dp_bootstrap_1.xlsx,DP,1.0,0.8535578592682969
employeePromotion_dp_bootstrap_2.xlsx,DP,1.0,0.8511579709415178
employeePromotion_dp_bootstrap_3.xlsx,DP,1.0,0.8538777700430484
employeePromotion_dp_bootstrap_4.xlsx,DP,1.0,0.8514341233886684
employeePromotion_dp_bootstrap_5.xlsx,DP,1.0,0.8527677696073838
employeePromotion_dp_bootstrap_6.xlsx,DP,1.0,0.8516979095320962
employeePromotion_dp_bootstrap_7.xlsx,DP,1.0,0.8535004726784393
employeePromotion_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9936572233608167,0.9585454860497775
employeePromotion_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9940396742560369,0.9557556156464967
employeePromotion_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9941634885553075,0.9568406709312555
employeePromotion_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9950034821633953,0.958941843883944
employeePromotion_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9923911478417071,0.9572536721613553
employeePromotion_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,0.9943244867233165,0.9576466603636927
employeePromotion_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,0.9939672278481051,0.958494449935864
employeePromotion_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9924231144401569,0.9333367316821637
employeePromotion_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9946859335961188,0.9395131284921036
employeePromotion_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.9926289507813042,0.9318279194385795
employeePromotion_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.9942059355881812,0.9308733930724127
employeePromotion_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9931775874481463,0.93182826605328
employeePromotion_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9935888102006413,0.9352608442959065
employeePromotion_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9948573906444087,0.9375935827900198
employeePromotion_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9999824775046996,0.9813690181972545
employeePromotion_t_close_codificado_bootstrap_2.xlsx,T-Close,1.0,0.9815815577591434
employeePromotion_t_close_codificado_bootstrap_3.xlsx,T-Close,1.0,0.9818718371503719
employeePromotion_t_close_codificado_bootstrap_4.xlsx,T-Close,1.0,0.9800387628856617
employeePromotion_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9999824775461885,0.9822957140831645
employeePromotion_t_close_codificado_bootstrap_6.xlsx,T-Close,0.999982477618975,0.9804457507234409
employeePromotion_t_close_codificado_bootstrap_7.xlsx,T-Close,1.0,0.9835444110609484
Employee_bootstrap_1.xlsx,Original,0.8635932620925789,0.8058255413632673
Employee_bootstrap_2.xlsx,Original,0.8598053031004079,0.7884568922484673
Employee_bootstrap_3.xlsx,Original,0.8671166558038118,0.8009975207002513
Employee_bootstrap_4.xlsx,Original,0.859672139360154,0.7900557563456925
Employee_bootstrap_5.xlsx,Original,0.8650239751557789,0.7969087567717361
Employee_bootstrap_6.xlsx,Original,0.8653770065204862,0.802078989562926
Employee_bootstrap_7.xlsx,Original,0.8611379647885611,0.7999819167753998
Employee_dp_bootstrap_1.xlsx,DP,1.0,0.7889192135452794
Employee_dp_bootstrap_2.xlsx,DP,1.0,0.7857887375062333
Employee_dp_bootstrap_3.xlsx,DP,0.9999462773173551,0.7759175329467319
Employee_dp_bootstrap_4.xlsx,DP,1.0,0.7840682295760868
Employee_dp_bootstrap_5.xlsx,DP,1.0,0.7781549391276024
Employee_dp_bootstrap_6.xlsx,DP,1.0,0.7729038697262987
Employee_dp_bootstrap_7.xlsx,DP,0.9999462771725149,0.7912464149902141
Employee_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9764703201847901,0.7670588558481615
Employee_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.9836135210187678,0.8020640230431539
Employee_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9777924805173906,0.8129902884667347
Employee_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9825576332367414,0.8180953011599638
Employee_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.989163675645047,0.8198057300485642
Employee_k_anonimizado_codificado_bootstrap_6.xlsx,K-Anonimizado,0.9785950982371802,0.7567976177489509
Employee_k_anonimizado_codificado_bootstrap_7.xlsx,K-Anonimizado,0.9788578735888036,0.7735744741927351
Employee_l_diverso_codificado_bootstrap_1.xlsx,L-Diverso,0.9829207512702937,0.7560691788901842
Employee_l_diverso_codificado_bootstrap_2.xlsx,L-Diverso,0.9813114822881609,0.7718756998967076
Employee_l_diverso_codificado_bootstrap_3.xlsx,L-Diverso,0.973585880085978,0.7453047415000509
Employee_l_diverso_codificado_bootstrap_4.xlsx,L-Diverso,0.976479100189896,0.7508841727540705
Employee_l_diverso_codificado_bootstrap_5.xlsx,L-Diverso,0.9813147168470128,0.7341268580396483
Employee_l_diverso_codificado_bootstrap_6.xlsx,L-Diverso,0.9877607232329376,0.772649409317929
Employee_l_diverso_codificado_bootstrap_7.xlsx,L-Diverso,0.9816318680983238,0.750536738959996
Employee_t_close_codificado_bootstrap_1.xlsx,T-Close,0.9697962388875834,0.7866937261967444
Employee_t_close_codificado_bootstrap_2.xlsx,T-Close,0.9866447994353538,0.7498409969223906
Employee_t_close_codificado_bootstrap_3.xlsx,T-Close,0.9733083989290308,0.7414049236970259
Employee_t_close_codificado_bootstrap_4.xlsx,T-Close,0.9789340963990284,0.743731976699366
Employee_t_close_codificado_bootstrap_5.xlsx,T-Close,0.9782287533695723,0.7393031214063669
Employee_t_close_codificado_bootstrap_6.xlsx,T-Close,0.9655554608328523,0.7667830065315431
Employee_t_close_codificado_bootstrap_7.xlsx,T-Close,0.9817182688416567,0.6931865134939242
fictional_character_battles_complex_bootstrap_1.xlsx,Original,0.9992551599354463,0.8994570729026666
fictional_character_battles_complex_bootstrap_2.xlsx,Original,0.99755302828383,0.8825564281501604
fictional_character_battles_complex_bootstrap_3.xlsx,Original,0.9980860727739278,0.8893601900656354
fictional_character_battles_complex_bootstrap_4.xlsx,Original,0.9978727335406795,0.8951080243017306
fictional_character_battles_complex_bootstrap_5.xlsx,Original,0.998830459398137,0.8913711058134272
fictional_character_battles_complex_bootstrap_6.xlsx,Original,0.9989363271107029,0.8976445218651042
fictional_character_battles_complex_bootstrap_7.xlsx,Original,0.9984043972049885,0.8922553843812956
fictional_character_battles_complex_dp_bootstrap_1.xlsx,DP,0.9958510357552803,0.7909268411966853
fictional_character_battles_complex_dp_bootstrap_2.xlsx,DP,0.9944696794350858,0.7933131761029817
fictional_character_battles_complex_dp_bootstrap_3.xlsx,DP,0.994042253444729,0.7815252145759939
fictional_character_battles_complex_dp_bootstrap_4.xlsx,DP,0.9934009375084735,0.8114570469944231
fictional_character_battles_complex_dp_bootstrap_5.xlsx,DP,0.9920209244011737,0.8095470709934034
fictional_character_battles_complex_dp_bootstrap_6.xlsx,DP,0.9962775103277345,0.7958935950749937
fictional_character_battles_complex_dp_bootstrap_7.xlsx,DP,0.9937241327972612,0.7915730632946194
fictional_character_battles_complex_k_anonimizado_codificado_bootstrap_1.xlsx,K-Anonimizado,0.9857055303523824,0.7832374352692343
fictional_character_battles_complex_k_anonimizado_codificado_bootstrap_2.xlsx,K-Anonimizado,0.974069721079158,0.7907460725876239
fictional_character_battles_complex_k_anonimizado_codificado_bootstrap_3.xlsx,K-Anonimizado,0.9827704673466953,0.8277543619508012
fictional_character_battles_complex_k_anonimizado_codificado_bootstrap_4.xlsx,K-Anonimizado,0.9844741707083843,0.8196339141883972
fictional_character_battles_complex_k_anonimizado_codificado_bootstrap_5.xlsx,K-Anonimizado,0.9847155582182807,0.8081216263989482
